id,title,zoom_level,latitude,longitude,province_id
1,Windhoek,10,,,6
2,Aranos,10,,,1
3,Cape Town,10,,,1
4,Eenhana,10,,,8
5,Gobabis,10,,,9
6,Grootfontein,10,,,13
7,Henties Bay,10,,,1
8,Johannesburg,10,,,1
9,Karasburg,10,,,3
10,Keetmanshoop,10,,,3
11,Katima Mulilo,10,,,14
12,Luderitz,10,,,3
13,Mariental,10,,,2
14,Nkurenkuru,10,,,5
15,Okahandja,10,,,13
16,Okahao,10,,,10
17,Okakarara,10,,,13
18,Okongo,10,,,8
19,Okalongo,10,,,10
20,Omaruru,10,,,1
21,Omuthiya,10,,,12
22,Oshakati,10,,,11
23,Ongwediva,10,,,11
24,Opuwo,10,,,7
25,Oshikango,10,,,8
26,Ondangwa,10,,,12
27,Otjiwarongo,10,,,13
28,Outjo,10,,,7
29,Outapi,10,,,10
30,Rundu,10,,,4
31,Rosh Pina,10,,,3
32,Rehoboth,10,,,2
33,Walvisbay,10,,,1
34,Swakopmund,10,,,1
35,Tsumeb,10,,,12
36,Oranjemund,10,,,3
37,Aminuis,14,,,9
38,Arandis,10,,,1
39,Ariamsvlei,10,,,3
40,Aroab,10,,,3
41,Aus,10,,,3
42,Aussenkehr,10,,,3
43,Bethanie,10,,,3
44,Berseba,10,,,3
45,Bukalo,10,,,14
46,Chincimane,10,,,14
47,Divundu,10,,,4
48,Dordabis,10,,,6
49,Eenhana,10,,,8
50,Epukiro,10,,,9
51,Fransfontein,10,,,7
52,Gibeon,10,,,2
53,Gochas,10,,,2
54,Grunau,10,,,13
55,Helmeringhausen,10,,,3
56,Hochfeld,10,,,13
57,Kalkfeld,10,,,13
58,Kalkrand,10,,,2
59,Kamanjab,10,,,7
60,Karibib,10,,,1
61,Khorixas,10,,,7
62,Klein Aub,10,,,2
63,Koes,10,,,3
64,Kombat,10,,,13
65,Leonardville,10,,,9
66, Luderitz,10,,,3
67,Maltahohe,10,,,2
68,Mpungu,10,,,5
69,Ngweze,10,,,14
70,Noordoewer,10,,,3
71,Okamatapati,10,,,13
72,Okankolo,10,,,12
73,Okombahe,10,,,1
74,Omitara,10,,,9
75,Omungwelume,10,,,8
76,Omuntele,10,,,12
77,Onahena,10,,,12
78,Onandjokwe,10,,,9
79,Onankali,10,,,9
80,Onayena,10,,,12
81,Onawa,10,,,10
82,Ondobe,10,,,8
83,Ongandjera,10,,,10
84,Ongha,10,,,8
85,Onyaanya,10,,,12
86,Oshigambo,10,,,12
87,Otavi,10,,,13
88,Oshihole/Onesi,10,,,10
89,Oshikuku,10,,,10
90,Oshivelo,10,,,12
91,Otjinene,10,,,9
92,Rosh Pinah,10,,,3
93,Ruacana,10,,,10
94,Stampriet,10,,,2
95,Tallismanus,10,,,9
96,Tses,10,,,3
97, Tsumeb,10,,,12
98,Tsumkwe,10,,,13
99,Uis,10,,,1
100,Usakos,10,,,1
101,Tsandi,10,,,10
102,Warmbad,10,,,3
103,Witvlei,10,,,9
