id,title,zoom_level,latitude,longitude,city_id
1,Eros,16,-22.55000758,17.0967772,1
2,Pioneerspark,15,-22.5940144,17.067348,1
3,Olympia,16,-22.60401849,17.10548902,1
4,Klein Windhoek,6,-22.21522958,22.11035156,1
5,Khomasdal,15,-22.54447849,17.04614782,1
6,Kleine Kuppe,16,-22.62055832,17.10602546,1
7,Windhoek West,15,-22.56718796,17.08035135,1
8,Hochland Park,16,-22.57549005,17.06787372,1
9,Ludwigsdorf,15,-22.56936755,17.1036973,1
10,Southern Industrial,15,-22.585125,17.0764929,1
11,Goreangab,15,-22.5213067,17.0214191,1
12,Katutura,15,-22.5234779,17.0483243,1
13,Khomasdal,15,-22.5481313,17.0329926,1
14,Kuisebmond,14,-22.9553278,14.5039326,33
15,Mondesa,14,-22.6582646,14.5428085,34
16,Narraville,14,-22.9504677,14.5322948,33
17,Okuryangava,14,-22.5064412,17.0460606,1
18,Wanaheda,14,-22.5187706,17.0294952,1
19,Vineta,14,-22.659876,14.513465,34
20,Rocky Crest,14,-22.573438,17.0399799,1
21,Otjomuise,14,-22.5520163,17.0032845,1
